orden_tabla,variable,bloque_tematico
400,Educacion | Centros y Unidades de ESO según titularidad del centro por distrito. Curso 20242025 | Públicos,Educacion
401,Educacion | Centros y Unidades de ESO según titularidad del centro por distrito. Curso 20242025 | Alumnado por unidad | Total,Educacion
402,Educacion | Centros y Unidades de ESO según titularidad del centro por distrito. Curso 20242025 | Unidades | Total,Educacion
403,Educacion | Alumnado de ESO según titularidad del centro y curso por distrito. Curso 20242025 | Concertados,Educacion
404,Educacion | Alumnado de ESO según titularidad del centro y curso por distrito. Curso 20242025 | 1.º ESO | Total,Educacion
405,Educacion | Alumnado de ESO según titularidad del centro y curso por distrito. Curso 20242025 | Públicos,Educacion
406,Educacion | Alumnado de ESO según titularidad del centro y curso por distrito. Curso 20242025 | 2.º ESO | Total,Educacion
407,Educacion | Alumnado de ESO según titularidad del centro y curso por distrito. Curso 20242025 | 3.º ESO | Total,Educacion
408,Educacion | Alumnado de ESO según titularidad del centro y curso por distrito. Curso 20242025 | 4.º ESO | Total,Educacion
409,Educacion | Alumnado de ESO según titularidad del centro y curso por distrito. Curso 20242025 | Total alumnado,Educacion
410,Educacion | Características generales del alumnado de Bachillerato por distrito. Curso 20242025 | Total,Educacion
411,Educacion | Características generales del alumnado de Bachillerato por distrito. Curso 20242025 | Mujeres,Educacion
412,Educacion | Características generales del alumnado de Bachillerato por distrito. Curso 20242025 | Sexo | Hombres,Educacion
413,Educacion | Características generales del alumnado de Bachillerato por distrito. Curso 20242025 | Titularidad del centro | Público,Educacion
414,Educacion | Características generales del alumnado de Bachillerato por distrito. Curso 20242025 | Privado,Educacion
415,Educacion | Características generales del alumnado de Bachillerato de nacionalidad extranjera por distrito. Curso 20242025 | América del Sur,Educacion
416,Educacion | Características generales del alumnado de Bachillerato de nacionalidad extranjera por distrito. Curso 20242025 | Asia y Oceanía,Educacion
417,Educacion | Características generales del alumnado de Bachillerato de nacionalidad extranjera por distrito. Curso 20242025 | Total,Educacion
418,Educacion | Características generales del alumnado de Bachillerato de nacionalidad extranjera por distrito. Curso 20242025 | Continente Nacionalidad | Europa,Educacion
419,Educacion | Características generales del alumnado de Bachillerato de nacionalidad extranjera por distrito. Curso 20242025 | Mujeres,Educacion
420,Educacion | Características generales del alumnado de Bachillerato de nacionalidad extranjera por distrito. Curso 20242025 | América del Norte y Central,Educacion
421,Educacion | Características generales del alumnado de Bachillerato de nacionalidad extranjera por distrito. Curso 20242025 | Privado,Educacion
422,Educacion | Características generales del alumnado de Bachillerato de nacionalidad extranjera por distrito. Curso 20242025 | Sexo | Hombres,Educacion
423,Educacion | Características generales del alumnado de Bachillerato de nacionalidad extranjera por distrito. Curso 20242025 | África,Educacion
424,Educacion | Características generales del alumnado de Bachillerato de nacionalidad extranjera por distrito. Curso 20242025 | Titularidad del centro | Público,Educacion
425,Educacion | Centros y Unidades de Bachillerato según titularidad del centro por distrito. Curso 20242025 | Privados,"Movilidad, seguridad y convivencia"
426,Educacion | Centros y Unidades de Bachillerato según titularidad del centro por distrito. Curso 20242025 | Centros | Total,Educacion
427,Educacion | Centros y Unidades de Bachillerato según titularidad del centro por distrito. Curso 20242025 | Públicos,Educacion
428,Educacion | Centros y Unidades de Bachillerato según titularidad del centro por distrito. Curso 20242025 | Públicas,Educacion
429,Educacion | Centros y Unidades de Bachillerato según titularidad del centro por distrito. Curso 20242025 | Alumnado por unidad | Total,Educacion
430,Educacion | Centros y Unidades de Bachillerato según titularidad del centro por distrito. Curso 20242025 | Unidades | Total,Educacion
431,Educacion | Alumnado de Bachillerato según titularidad del centro y curso por distrito. Curso 20242025 | Total alumnado,Educacion
432,Educacion | Alumnado de Bachillerato según titularidad del centro y curso por distrito. Curso 20242025 | Públicos,Educacion
433,Educacion | Alumnado de Bachillerato según titularidad del centro y curso por distrito. Curso 20242025 | 2.º Bachillerato LOGSE | Total,Educacion
434,Educacion | Alumnado de Bachillerato según titularidad del centro y curso por distrito. Curso 20242025 | 1.º Bachillerato LOGSE | Total,Educacion
435,Educacion | Alumnado de Bachillerato según titularidad del centro y curso por distrito. Curso 20242025 | Privados,"Movilidad, seguridad y convivencia"
436,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Medio por distrito. Curso 20242025 | Total,Educacion
437,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Medio por distrito. Curso 20242025 | Mujeres,Educacion
438,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Medio por distrito. Curso 20242025 | Sexo | Hombres,Educacion
439,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Medio por distrito. Curso 20242025 | Titularidad del centro | Público,Educacion
440,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Medio por distrito. Curso 20242025 | Privado,Educacion
441,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Medio de nacionalidad extranjera por distrito. Curso 20242025 | América del Sur,Educacion
442,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Medio de nacionalidad extranjera por distrito. Curso 20242025 | No consta,Educacion
443,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Medio de nacionalidad extranjera por distrito. Curso 20242025 | Asia y Oceanía,Educacion
444,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Medio de nacionalidad extranjera por distrito. Curso 20242025 | Total,Educacion
445,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Medio de nacionalidad extranjera por distrito. Curso 20242025 | Continente Nacionalidad | Europa,Educacion
446,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Medio de nacionalidad extranjera por distrito. Curso 20242025 | Mujeres,Educacion
447,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Medio de nacionalidad extranjera por distrito. Curso 20242025 | América del Norte y Central,Educacion
448,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Medio de nacionalidad extranjera por distrito. Curso 20242025 | Privado,Educacion
449,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Medio de nacionalidad extranjera por distrito. Curso 20242025 | Sexo | Hombres,Educacion
450,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Medio de nacionalidad extranjera por distrito. Curso 20242025 | África,Educacion
451,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Medio de nacionalidad extranjera por distrito. Curso 20242025 | Titularidad del centro | Público,Educacion
452,Educacion | Centros y Unidades de Ciclos Formativos de Grado Medio según titularidad del centro por distrito. Curso 20242025 | Privados,"Movilidad, seguridad y convivencia"
453,Educacion | Centros y Unidades de Ciclos Formativos de Grado Medio según titularidad del centro por distrito. Curso 20242025 | Centros | Total,Educacion
454,Educacion | Centros y Unidades de Ciclos Formativos de Grado Medio según titularidad del centro por distrito. Curso 20242025 | Públicos,Educacion
455,Educacion | Centros y Unidades de Ciclos Formativos de Grado Medio según titularidad del centro por distrito. Curso 20242025 | Alumnado por unidad | Total,Educacion
456,Educacion | Centros y Unidades de Ciclos Formativos de Grado Medio según titularidad del centro por distrito. Curso 20242025 | Unidades | Total,Educacion
457,Educacion | Características generales del alumnado de Preescolar Educación Infantil de nacionalidad extranjera por distrito. Curso 202425 | América del Sur,Educacion
458,Educacion | Características generales del alumnado de Preescolar Educación Infantil de nacionalidad extranjera por distrito. Curso 202425 | No consta,Educacion
459,Educacion | Características generales del alumnado de Preescolar Educación Infantil de nacionalidad extranjera por distrito. Curso 202425 | Asia y Oceanía,Educacion
460,Educacion | Características generales del alumnado de Preescolar Educación Infantil de nacionalidad extranjera por distrito. Curso 202425 | Total,Educacion
461,Educacion | Características generales del alumnado de Preescolar Educación Infantil de nacionalidad extranjera por distrito. Curso 202425 | Continente Nacionalidad | Europa,Educacion
462,Educacion | Características generales del alumnado de Preescolar Educación Infantil de nacionalidad extranjera por distrito. Curso 202425 | Mujeres,Educacion
463,Educacion | Características generales del alumnado de Preescolar Educación Infantil de nacionalidad extranjera por distrito. Curso 202425 | América del Norte y Central,Educacion
464,Educacion | Características generales del alumnado de Preescolar Educación Infantil de nacionalidad extranjera por distrito. Curso 202425 | Privado,Educacion
465,Educacion | Características generales del alumnado de Preescolar Educación Infantil de nacionalidad extranjera por distrito. Curso 202425 | Sexo | Hombres,Educacion
466,Educacion | Características generales del alumnado de Preescolar Educación Infantil de nacionalidad extranjera por distrito. Curso 202425 | África,Educacion
467,Educacion | Características generales del alumnado de Preescolar Educación Infantil de nacionalidad extranjera por distrito. Curso 202425 | Titularidad del centro | Público,Educacion
468,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Diferencia entre media expediente y media PAU,Educacion
469,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Número de centros,Educacion
470,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Media expediente de Bachillerato,Educacion
471,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Alumnado presentado,Educacion
472,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Media Nota de Acceso a la Universidad,Educacion
473,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Porcentaje alumnado apto,Educacion
474,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Alumnado matriculado,Educacion
475,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Media PAU,Educacion
476,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Alumnado apto,Educacion
477,Educacion | Alumnado de Ciclos Formativos de Grado Medio según titularidad del centro y curso por distrito. Curso 20242025 | Total alumnado,Educacion
478,Educacion | Alumnado de Ciclos Formativos de Grado Medio según titularidad del centro y curso por distrito. Curso 20242025 | Públicos,Educacion
