orden_tabla,variable,bloque_tematico
280,Edificacion vivienda 2025 residencial antiguedad | 2001_2010 [n],Demografia y estructura social
281,Edificacion vivienda 2025 residencial antiguedad | 2011_2024 [n],Demografia y estructura social
282,Edificacion vivienda 2025 residencial antiguedad | Edad media [anos],Demografia y estructura social
283,Edificacion vivienda 2025 valor catastral tramos | Total [n],"Economia, renta y vulnerabilidad material"
284,Edificacion vivienda 2025 valor catastral tramos | <=12k [n],"Economia, renta y vulnerabilidad material"
285,Edificacion vivienda 2025 valor catastral tramos | 12_18k [n],"Economia, renta y vulnerabilidad material"
286,Edificacion vivienda 2025 valor catastral tramos | 18_24k [n],"Economia, renta y vulnerabilidad material"
287,Edificacion vivienda 2025 valor catastral tramos | 24_30k [n],"Economia, renta y vulnerabilidad material"
288,Edificacion vivienda 2025 valor catastral tramos | 30_36k [n],"Economia, renta y vulnerabilidad material"
289,Edificacion vivienda 2025 valor catastral tramos | 36_48k [n],"Economia, renta y vulnerabilidad material"
290,Edificacion vivienda 2025 valor catastral tramos | 48_60k [n],"Economia, renta y vulnerabilidad material"
291,Edificacion vivienda 2025 valor catastral tramos | 60_72k [n],"Economia, renta y vulnerabilidad material"
292,Edificacion vivienda 2025 valor catastral tramos | >72k [n],"Economia, renta y vulnerabilidad material"
293,Edificacion vivienda 2025 valor catastral tramos | No consta [n],"Economia, renta y vulnerabilidad material"
294,Edificacion vivienda 2025 superficie construida | Total [n],"Vivienda, urbanismo y entorno construido"
295,Edificacion vivienda 2025 superficie construida | <=60m2 [n],"Vivienda, urbanismo y entorno construido"
296,Edificacion vivienda 2025 superficie construida | 61_80m2 [n],"Vivienda, urbanismo y entorno construido"
297,Edificacion vivienda 2025 superficie construida | 81_100m2 [n],"Vivienda, urbanismo y entorno construido"
298,Edificacion vivienda 2025 superficie construida | 101_120m2 [n],"Vivienda, urbanismo y entorno construido"
299,Edificacion vivienda 2025 superficie construida | 121_150m2 [n],"Vivienda, urbanismo y entorno construido"
300,Edificacion vivienda 2025 superficie construida | 151_200m2 [n],"Vivienda, urbanismo y entorno construido"
301,Edificacion vivienda 2025 superficie construida | >200m2 [n],"Vivienda, urbanismo y entorno construido"
302,Edificacion vivienda 2025 solares | Numero [n],"Vivienda, urbanismo y entorno construido"
