version,archivo_origen,formato_origen,fila_origen,bloque,tipo_medida,variable_1,variable_2,valor,n_observaciones,decision_metodologica,decision,criterio,medida
7,reporte_redundancias_correlaciones_v7.csv,detallado,14,Bienestar social - cheques escolares,correlacion_pearson,Bienestar social | Distribución de concesiones de Cheques escolares según cobertura. Distritos. Curso 202425 | Cobertura,"Bienestar social | Distribución de solicitudes de Cheques escolares, concesiones y renta familiar media. Distritos. Curso 202425 | Porcentaje de concedidos","0,825",19,"Cobertura y porcentaje concedido sobre solicitudes miden aspectos relacionados pero no identicos, por eso se mantienen separadas.",,,
7,reporte_redundancias_correlaciones_v7.csv,detallado,15,Pobreza,correlacion_pearson,Pobreza 2025 movil | No [%],Pobreza 2025 lavadora | No [%],"0,535",19,Se conservan ambas carencias seleccionadas por su interpretacion material directa.,,,
8,reporte_redundancias_correlaciones_v8.csv,detallado,1,Hechos discriminatorios,correlacion_pearson,Hechos discriminatorios - Genero [n],Hechos discriminatorios - LGTBIFobia [n],"0,748",19,Fusionadas como discriminacion por sexo-genero y diversidad sexual.,,,
8,reporte_redundancias_correlaciones_v8.csv,detallado,2,Medio ambiente,correlacion_pearson,Contaminacion - PM10(�g/m�) [media],Contaminacion - PM2.5(�g/m�) [media],"0,749",17,PM10 y PM2.5 se integran en un indice estandarizado de particulas.,,,
8,reporte_redundancias_correlaciones_v8.csv,detallado,3,Medio ambiente,correlacion_pearson,Contaminacion - PM10(�g/m�) [media],Contaminacion - Ozono(�g/m�) [media],"-0,076",15,Ozono se mantiene separado porque su comportamiento territorial es distinto al de las particulas.,,,
8,reporte_redundancias_correlaciones_v8.csv,detallado,4,Medio ambiente,correlacion_pearson,Contaminacion - PM2.5(�g/m�) [media],Contaminacion - Ozono(�g/m�) [media],"0,525",13,Ozono se mantiene separado porque no mide material particulado.,,,
8,reporte_redundancias_correlaciones_v8.csv,detallado,5,Medio ambiente,correlacion_pearson,Contaminacion - NO(�g/m�) [media],Contaminacion - NOx(�g/m�) [media],"0,267",19,"NO, NO2 y NOx son muy redundantes; se conserva NO2 como indicador mas interpretable de trafico urbano.",,,
8,reporte_redundancias_correlaciones_v8.csv,detallado,6,Medio ambiente,correlacion_pearson,Contaminacion - NO2(�g/m�) [media],Contaminacion - NOx(�g/m�) [media],"0,320",19,NOx se elimina por redundancia con NO2.,,,
8,reporte_redundancias_correlaciones_v8.csv,detallado,7,Medio ambiente,correlacion_pearson,Contaminacion - NO(�g/m�) [media],Contaminacion - NO2(�g/m�) [media],"0,922",19,NO se elimina por redundancia con NO2.,,,
8,reporte_redundancias_correlaciones_v8.csv,detallado,8,Medio ambiente,correlacion_pearson,Contaminacion - SO2(�g/m�) [media],Contaminacion - Ozono(�g/m�) [media],"-0,372",15,SO2 se elimina; se conserva un conjunto de contaminantes mas interpretable.,,,
