bloque,tipo_medida,variable_1,variable_2,valor,n_observaciones,decision_metodologica,decision,criterio
Policia local,peso_sobre_total_ciudad_%,Seguridad ciudadana,total del bloque,"18,882",19,Agrupacion de subtipos en cuatro bloques funcionales por cada 1.000 habitantes.,,
Policia local,peso_sobre_total_ciudad_%,Vigilancias,total del bloque,"15,047",19,Agrupacion de subtipos en cuatro bloques funcionales por cada 1.000 habitantes.,,
Policia local,peso_sobre_total_ciudad_%,Policia administrativa,total del bloque,"17,539",19,Agrupacion de subtipos en cuatro bloques funcionales por cada 1.000 habitantes.,,
Policia local,peso_sobre_total_ciudad_%,Actos via publica,total del bloque,"1,352",19,Agrupacion de subtipos en cuatro bloques funcionales por cada 1.000 habitantes.,,
Policia local,peso_sobre_total_ciudad_%,Informacion,total del bloque,"7,759",19,Agrupacion de subtipos en cuatro bloques funcionales por cada 1.000 habitantes.,,
Policia local,peso_sobre_total_ciudad_%,Incidencias,total del bloque,"3,675",19,Agrupacion de subtipos en cuatro bloques funcionales por cada 1.000 habitantes.,,
Policia local,peso_sobre_total_ciudad_%,Humanitarios y riesgos,total del bloque,"12,326",19,Agrupacion de subtipos en cuatro bloques funcionales por cada 1.000 habitantes.,,
Bomberos,peso_sobre_total_ciudad_%,Salvamentos,total del bloque,"62,346",19,Agrupacion en rescate/asistencia e incendios/alertas de riesgo.,,
Bomberos,peso_sobre_total_ciudad_%,Asistencia tecnica,total del bloque,"10,413",19,Agrupacion en rescate/asistencia e incendios/alertas de riesgo.,,
Bomberos,peso_sobre_total_ciudad_%,Incendios,total del bloque,"21,974",19,Agrupacion en rescate/asistencia e incendios/alertas de riesgo.,,
Bomberos,peso_sobre_total_ciudad_%,Falsas alarmas,total del bloque,"5,255",19,Agrupacion en rescate/asistencia e incendios/alertas de riesgo.,,
Bomberos,peso_sobre_total_ciudad_%,Mercancias peligrosas,total del bloque,"0,012",19,Agrupacion en rescate/asistencia e incendios/alertas de riesgo.,,
Movilidad - aparcamientos,peso_sobre_total_ciudad_%,Aparcamientos libres,total del bloque,"27,974",19,"Fusion de libres, ORA y parkings como aparcamiento publico/de rotacion; vados queda separado.",,
Movilidad - aparcamientos,peso_sobre_total_ciudad_%,Aparcamientos ORA,total del bloque,"1,512",19,"Fusion de libres, ORA y parkings como aparcamiento publico/de rotacion; vados queda separado.",,
Movilidad - aparcamientos,peso_sobre_total_ciudad_%,Aparcamientos vados,total del bloque,"60,627",19,"Fusion de libres, ORA y parkings como aparcamiento publico/de rotacion; vados queda separado.",,
Movilidad - aparcamientos,peso_sobre_total_ciudad_%,Aparcamientos parkings,total del bloque,"9,887",19,"Fusion de libres, ORA y parkings como aparcamiento publico/de rotacion; vados queda separado.",,
Economia,correlacion_pearson,INE - Renta media por persona [EUR distrito],INE - Renta media por hogar [EUR distrito],"0,973",19,Rentas por persona y por hogar presentan solapamiento; se conserva renta por persona como indicador principal.,,
Economia,correlacion_pearson,INE - Renta media por persona [EUR distrito],INE - Media renta por unidad de consumo [EUR distrito],"0,996",19,Las distintas medidas medias de renta son muy próximas; se conserva renta por persona y mediana por unidad de consumo.,,
Economia,correlacion_pearson,INE 2023 desigualdad | Índice de Gini [distrito],INE 2023 desigualdad | Distribución de la renta P80/P20 [distrito],"0,881",19,Gini y P80/P20 miden desigualdad; se conserva Gini como indicador sintetico.,,
Economia,correlacion_pearson,IBI - media Num. Recibos totales,IBI - media Importe Recibos totales,"0,849",19,IBI se elimina del bloque final por su caracter fiscal-administrativo y su solapamiento con valor catastral/renta.,,
Economia,correlacion_pearson,IAE - media Numero recibos totales,IAE - media Importe recibos totales,"0,937",19,IAE se elimina del bloque final porque la actividad economica queda resumida por empresas y actividades por habitante.,,
Economia,correlacion_pearson,IVTM - media Recibos Totales,"IVTM - media Importe Rec, Totales","0,998",19,IVTM se elimina del bloque final porque duplica informacion fiscal ligada al parque de vehiculos ya tratado en movilidad.,,
Consumo publico,correlacion_pearson,Renta consumo precios 2024 alumbrado publico | Consumo electrico [kWh],Renta consumo precios 2024 alumbrado publico | Facturacion [EUR],"0,999",19,Se conserva consumo electrico normalizado por km2 y se elimina facturacion absoluta.,,
Consumo publico,correlacion_pearson,Renta consumo precios 2024 pasos inferiores | Puntos alumbrado total [n],Renta consumo precios 2024 pasos inferiores | Potencia instalada total [kW],"0,971",19,Se conserva potencia instalada total por km2 y se eliminan puntos y tecnologias desagregadas.,,
Consumo publico,correlacion_pearson,Renta consumo precios 2024 monumentos | Puntos alumbrado total [n],Renta consumo precios 2024 monumentos | Potencia instalada total [kW],"1,000",19,Se conserva potencia instalada total por km2 y se eliminan puntos y tecnologias desagregadas.,,
Urbanismo e infraestructuras,correlacion_pearson,Edificacion vivienda 2025 superficie construida | Total [n],Edificacion vivienda 2025 solares | Numero [n],"0,169",19,Se verifica que no es suma de solares; son dimensiones distintas.,,
Urbanismo e infraestructuras,correlacion_pearson,Edificacion vivienda 2025 parcelas urbanas | Total [n],Edificacion vivienda 2025 solares | Numero [n],"1,000",19,Parcelas urbanas y solares son casi equivalentes en estos datos; se evita duplicar recuentos.,,
Urbanismo e infraestructuras,correlacion_pearson,Programas de Actuacion Aislada [n],PAA - proyectos [por_km2],"0,841",19,Se conserva la densidad territorial de PAA y se elimina el recuento absoluto.,,
Urbanismo e infraestructuras,correlacion_pearson,Programas de Actuacion Aislada [n],PAA - proyectos [por_1000_hab],"0,904",19,La tasa poblacional es derivada del mismo recuento; se prioriza la lectura territorial.,,
Urbanismo e infraestructuras,correlacion_pearson,Programas de Actuacion Aislada [n],Programas de Actuacion Aislada - superficie total [m2],"0,435",19,Numero de PAA y superficie afectada no son equivalentes; se conserva tambien superficie normalizada.,,
Urbanismo e infraestructuras,normalizacion,Viviendas proteccion publica [n],Edificacion vivienda 2025 superficie construida | Total [n] / Padron 2025 | Poblacion,,19,Se sustituye el recuento absoluto de viviendas de proteccion publica por porcentaje sobre viviendas residenciales y tasa por 100 habitantes.,,
Otros / politica y demografia residual,,,,"70,54",,,Politica - Participacion electoral media [%],variable derivada v15; media distrital orientativa
Otros / politica y demografia residual,,,,"0,69",,,Politica - Votos nulos media [% votos emitidos],variable derivada v15; media distrital orientativa
Otros / politica y demografia residual,,,,"0,85",,,Politica - Votos en blanco media [% votos validos],variable derivada v15; media distrital orientativa
Otros / politica y demografia residual,,,,"99,15",,,Politica - Votos a candidaturas media [% votos validos],variable derivada v15; media distrital orientativa
Otros / politica y demografia residual,,,,"37,12",,,Politica - PP [% votos candidaturas media],variable derivada v15; media distrital orientativa
Otros / politica y demografia residual,,,,"25,38",,,Politica - PSOE [% votos candidaturas media],variable derivada v15; media distrital orientativa
Otros / politica y demografia residual,,,,"16,78",,,Politica - Compromis Sumar [% votos candidaturas media],variable derivada v15; media distrital orientativa
Otros / politica y demografia residual,,,,"13,02",,,Politica - VOX [% votos candidaturas media],variable derivada v15; media distrital orientativa
Otros / politica y demografia residual,,,,"3,75",,,Politica - Podemos Unides [% votos candidaturas media],variable derivada v15; media distrital orientativa
