bloque,tipo_medida,variable_1,variable_2,valor,n_observaciones,decision_metodologica,decision,criterio
Medio Ambiente / equipamientos secundarios,,,,,,,Medio ambiente 2024 | Escombros contenedores octubre [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Medio ambiente 2024 | Escombros contenedores noviembre [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Medio ambiente 2024 | Escombros contenedores diciembre [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Transporte,correlacion_pearson,Distribució percentual del nombre de vehicles [2025],Nombre de vehicles [2025],1,19,Se eliminan vehiculos totales por solapamiento con turismos ya normalizados en movilidad.,,
Transporte - ValenBisi,correlacion_pearson,ValenBisi - estaciones [por_km2],ValenBisi - anclajes totales [por_km2],"0,98",19,Se conservan anclajes en lugar de estaciones porque miden mejor la capacidad de la red.,,
Transporte - ValenBisi,correlacion_pearson,ValenBisi - estaciones [por_1000_hab],ValenBisi - anclajes totales [por_1000_hab],"0,97",19,Se conserva la oferta de anclajes por poblacion y cobertura territorial por km2.,,
Cultura y Ocio,decision_transformacion,Zonas de actividades [por_km2],Zonas de actividades [n]; Zonas de actividades [por_1000_hab],,,Se conserva por km2 porque las zonas de actividades se interpretan como dotacion territorial.,Conservar por km2 y eliminar recuento absoluto/por poblacion.,Cobertura territorial.
Cultura y Ocio,decision_transformacion,Cultura y Ocio 2025 | Clubs federados [n],Padron 2025 | Poblacion,,,Los clubs federados se expresan por cada 1.000 habitantes para medir tejido deportivo relativo a la poblacion.,Crear Clubs federados por 1000 habitantes.,Disponibilidad relativa / participacion social.
Seguridad y convivencia,Reagrupacion tematica,Seguridad,"Movilidad, seguridad y convivencia",,,Unificar bajo una categoria comun,renombrar_categoria,"Se unifican las columnas previamente categorizadas como Seguridad y Movilidad, seguridad y convivencia bajo Seguridad y convivencia. En este paso no se eliminan columnas."
Seguridad y convivencia,decision_transformacion,Hidrantes [por_km2],Barrio policial; Distrito policial; Hidrantes [n]; Hidrantes [por_1000_hab],,,"Se conservan los hidrantes por km2 porque son infraestructura territorial de emergencia. Se eliminan el recuento absoluto y la tasa por poblacion por redundancia, y se eliminan barrio/distrito policial por ser variables categoricas administrativas no adecuadas como variables activas de PCA/clustering.",Conservar hidrantes por km2 y eliminar variables categoricas/duplicadas.,Infraestructura territorial y eliminacion de variables no continuas.
