refman,hoja,coorx,coory
48387,YJ2743H,724698.75,4373608.81
48371,YJ2743H,724711.26,4373587.85
61437,YJ2764C,726009.67,4374112.64
54518,YJ2755A,725318.74,4374921.21
55552,YJ2755F,725446.13,4375381.25
55559,YJ2755F,725453.14,4375356.37
55542,YJ2755D,725431.11,4375281.38
56557,YJ2755F,725475.62,4375318.95
55546,YJ2755D,725444.92,4375216.72
56547,YJ2755D,725502.83,4375218.2
65436,YJ2764D,726403.32,4374109.75
64428,YJ2764A,726294.49,4374014.75
94076,YJ2790G,729396.76,4370545.35
96019,YJ2790B,729540.36,4369953.83
95001,YJ2790B,729424.88,4369880.58
94009,YJ2790A,729342.77,4369818.01
95992,YJ2699H,729422.14,4369714.43
92064,YJ2790E,729159.04,4370420.33
93064,YJ2790E,729244.19,4370452.34
93071,YJ2790E,729222.26,4370514.85
94077,YJ2790E,729346.85,4370489.5
94066,YJ2790E,729363.42,4370452.47
95072,YJ2790E,729392.07,4370515.16
95079,YJ2790F,729444.21,4370532.85
69803,YJ2668B,726895.11,4367869.69
00381,YJ3703G,729896.42,4373725.57
41232,YJ2742C,724022.75,4372096.1
01305,YJ3703A,730080.59,4372818.49
01307,YJ3703A,730008.92,4372792.46
01288,YJ3702G,730014.05,4372634.37
02281,YJ3702G,730104.59,4372676.89
02287,YJ3702G,730081.26,4372566.7
77449,YJ2774D,727590.28,4374258.29
80403,YJ2784A,727961.63,4373868.92
76446,YJ2774D,727583.97,4374242.41
77439,YJ2774D,727614.64,4374155.03
70416,YJ2774A,726940.23,4373916.88
68449,YJ2764D,726735.81,4374235.73
64412,YJ2764A,726321.05,4373959.08
63412,YJ2764A,726227.37,4373964.7
65411,YJ2764B,726392.89,4373980.03
54825,YJ2658C,725414.16,4368054.52
65446,YJ2764D,726423.18,4374190.2
68433,YJ2764D,726787.45,4374172.91
67446,YJ2764D,726677.66,4374292.48
67449,YJ2764D,726636.62,4374231.48
67448,YJ2764D,726594.72,4374260.73
66455,YJ2764F,726574.73,4374305.54
64444,YJ2764C,726381.64,4374238.8
65455,YJ2764D,726440.68,4374278.41
66448,YJ2764D,726507.61,4374232.78
66459,YJ2764F,726540.62,4374341.06
70818,YJ2678A,726908.81,4367943.46
70815,YJ2678A,726969.2,4367918.05
71824,YJ2678C,727071.39,4368047.24
71812,YJ2678A,727025.12,4367975.31
73822,YJ2678C,727228.82,4368102.49
58477,YJ2754F,725692.9,4374498.99
49457,YJ2744F,724832.82,4374314.92
49458,YJ2744F,724793.22,4374330.07
49444,YJ2744D,724867.48,4374251.81
48443,YJ2744D,724754.61,4374268.41
48441,YJ2744D,724701.52,4374276.94
47443,YJ2744D,724662.72,4374275.72
